rank,manager,name_source,team_name,team_key
1,Jack E,owners_by_season.csv,Napoleon Kyrenite,449.l.66930.t.6
2,Colin,owners_by_season.csv,For the Love of the game,449.l.66930.t.5
3,Ben,owners_by_season.csv,The Flea Flickers,449.l.66930.t.12
4,Si,owners_by_season.csv,Play off push,449.l.66930.t.9
5,Jake,owners_by_season.csv,Kissing Cousins,449.l.66930.t.3
6,Jack C,owners_by_season.csv,My Ball Zach Ertz,449.l.66930.t.7
7,Graham,owners_by_season.csv,Please Bijan Robinson,449.l.66930.t.4
8,Chris,owners_by_season.csv,San Franshelfo 49ers,449.l.66930.t.11
9,Jamie,owners_by_season.csv,Jahmyr I Go Again,449.l.66930.t.1
10,Conor,owners_by_season.csv,Brees Nutz,449.l.66930.t.2
11,Kevin,owners_by_season.csv,PAT's the way uh-huh I like it,449.l.66930.t.8
12,Andrew,owners_by_season.csv,Red Zone 2.0,449.l.66930.t.10
